Bir bilgisayarı oluşturan iki ana bileşen nedir?,Donanım ve yazılım.
Bilgisayarı meydana getiren tüm fiziksel kısımlara verilen ad nedir?,Donanım.
Bilgisayarların isteğe uygun işleri yapabilmeleri için onlara iletilen tüm bilgiler ve komutlara ne ad verilir?,Yazılım.
John von Neumann'ın 1945'te geliştirdiği ve günümüz bilgisayarlarının temel aldığı mimaride hangi üç temel sistem yer alır?,"Bir işlemci, bir hafıza ve giriş/çıkış sistemleri."
Bilgisayarda işlenecek verileri giriş aygıtlarından alarak merkezi işlem birimine aktaran birim hangisidir?,Giriş birimi.
Bilgisayar tarafından işlenen verileri belirlenen çıkış aygıtına aktaran birim hangisidir?,Çıkış birimi.
Merkezi işlem biriminin işleyeceği verilerin tutulduğu hızlı erişim sağlayan geçici depolama birimi hangisidir?,Bellek birimi (RAM veya birincil hafıza).
Bilgisayarın elektrik enerjisi kesildiğinde verilerin kaybolduğu bellek birimi hangisidir?,Bellek birimi (RAM).
"CPU içinde yer alan, toplama, çıkarma gibi aritmetik ve AND, OR gibi mantıksal işlemleri gerçekleştiren birim nedir?",Aritmetik ve Mantıksal Birim (ALU).
"Bilgisayar sistemindeki birimlerin çalışmalarını zamanlayan, kontrol eden ve tüm birimlerin işleyişini organize eden birim hangisidir?",Merkezi işlem birimi (CPU).
Verilerin tekrar kullanılmak üzere kalıcı olarak saklandığı ve elektrik kesintilerinden etkilenmeyen yüksek kapasiteli bellek birimi nedir?,İkincil depolama birimi.
Bilgisayar sistemlerinin veri oluşturmak için kullandığı 1 ve 0'lardan oluşan sayı sistemine ne denir?,İkilik (binary) sayı sistemi.
En küçük bellek birimi olarak adlandırılan ve 'Binary Digit' ifadesinden türetilen kelime nedir?,Bit.
Daha az dijit ile daha çok değer göstermek amacıyla kullanılan ve $2^3=8$ ilişkisine dayanan sayı sistemi hangisidir?,Sekizlik (Octal) sayı sistemi.
4 bitlik bir ikilik sayıyı tek bir dijitle gösterebilen ve $2^4=16$ ilişkisine dayanan sayı sistemi hangisidir?,Onaltılık (Hexadecimal) sayı sistemi.
Onluk bir sayıyı ikilik sayıya çevirirken hangi metot kullanılır?,Sayı devamlı olarak 2'ye bölünür ve kalan değerler tersten yazılarak ikilik sayı elde edilir.
İkilik bir sayıyı onluk sayıya çevirirken hangi işlem yapılır?,Her basamak 2'nin ilgili kuvveti ile çarpılarak sonuçlar toplanır.
Onaltılık sayı sisteminde 10'dan 15'e kadar olan sayıları temsil eden harfler sırasıyla nelerdir?,"A=10, B=11, C=12, D=13, E=14, F=15."
"Belirli bir amaca yönelik olarak, verilen komutlar doğrultusunda işlemleri belirli bir sırada yerine getiren komut dizisine ne denir?",Program.
Programlar bütününe verilen genel isim nedir?,Yazılım.
Bilgisayar sisteminin kaynaklarını yöneten ve uygulama programlarının çalışmasını sağlayan yazılım türü nedir?,Sistem yazılımları.
Son kullanıcının ihtiyaçlarını karşılamak için tasarlanmış yazılım türü nedir?,Uygulama yazılımları.
